Parent	Rule	D1	D2	revisedXrule	revisedYrule	revisedZrule
ABplpapapp	0	ABplpapappa	ABplpapappp	0.617634936	-0.648594232	0.246176786
ABplpapp	0	ABplpappa	ABplpappp	0.925149664	0.138622526	0.062516995
ABplpappa	0	ABplpappaa	ABplpappap	0.89296515	0.081517535	0.10231493
ABplpappaa	0	ABplpappaaa	ABplpappaap	0.878841773	0.031223679	-0.115982984
ABplpappp	0	ABplpapppa	ABplpapppp	0.930999942	-0.187454818	0.012408845
ABplpapppa	0	ABplpapppaa	ABplpapppap	0.754344154	-0.440614729	0.173129844
ABplpapppp	0	ABplpappppa	ABplpappppp	0.847720859	0.351084889	0.050461019
ABplpp	0	ABplppa	ABplppp	0.584746287	0.076791717	0.724920493
ABplppa	0	ABplppaa	ABplppap	0.886363222	0.031789179	0.236604619
ABplppaa	0	ABplppaaa	ABplppaap	0.895606525	0.084770388	0.073522213
ABplppaaa	0	ABplppaaaa	ABplppaaap	0.795537688	0.386368718	-0.105269568
ABplppaaaa	0	ABplppaaaaa	ABplppaaaap	0.868586235	0.232357002	-0.041850482
ABplppaap	0	ABplppaapa	ABplppaapp	0.906773562	0.104191673	0.123917685
ABplppaapa	0	ABplppaapaa	ABplppaapap	0.859193361	0.102397494	-0.086856839
ABplppaapp	0	ABplppaappa	ABplppaappp	0.878441528	-0.013544982	0.16540729
ABplppap	0	ABplppapa	ABplppapp	0.848156153	0.166998114	0.203149686
ABplppapa	0	ABplppapaa	ABplppapap	0.877103846	0.02806714	0.269342139
ABplppapaa	0	ABplppapaaa	ABplppapaap	0.915592433	-0.000549515	-0.050899524
ABplppapap	0	ABplppapapa	ABplppapapp	0.888788714	-0.155682636	-0.008359793
